Transaction_ID,Facility_ID,Vehicle_Type,Customer_Type,Entry_Date,Entry_Hour,Parking_Duration_Min,Payment_Method,Payment_Status,Parking_Type,Hourly_Rate,Discount_Amount,Net_Revenue,Occupancy_Rate
PT100070,F006,Car,Regular,2025-06-30,16,238,Wallet,Paid,Open,50,0.0,170.0,0.58
PT100071,F002,Bike,Member,2025-12-08,20,60,Wallet,Paid,Two-Wheeler,25,0.0,22.5,0.71
PT100072,F002,SUV,Member,2025-07-15,11,82,UPI,Paid,Open,65,0.0,110.5,0.43
PT100073,F001,Bike,Visitor,2025-03-01,12,306,Credit Card,Paid,Two-Wheeler,25,19.12,127.5,0.18
PT100074,F002,Car,Member,2025-05-31,12,189,UPI,Paid,Covered,50,0.0,200.0,0.65
PT100075,F005,EV Car,Regular,2025-03-02,18,161,Wallet,Paid,EV Parking,55,0.0,148.5,0.62
PT100076,F002,Bike,Regular,2025-05-15,14,24,Credit Card,Paid,Two-Wheeler,25,0.0,23.75,0.61
PT100077,F004,Bike,Visitor,2025-11-27,21,172,UPI,Paid,Two-Wheeler,25,0.0,75.0,0.7
PT100078,F004,Car,Regular,2025-02-08,15,212,UPI,Paid,Covered,50,10.0,200.0,0.4
PT100079,F007,Bike,Regular,2025-09-10,15,250,UPI,Paid,Two-Wheeler,25,5.94,118.75,0.76
PT100080,F004,Bike,Regular,2025-04-16,8,84,UPI,Paid,Two-Wheeler,25,4.25,42.5,0.8
PT100081,F007,Car,Visitor,2025-08-21,20,41,Debit Card,Paid,Covered,50,2.38,47.5,0.84
PT100082,F004,Car,Visitor,2025-12-20,15,40,Credit Card,Paid,Covered,50,0.0,50.0,0.46
PT100083,F005,SUV,Regular,2025-06-19,14,135,UPI,Paid,Open,65,19.5,195.0,0.44
PT100084,F008,Car,Regular,2025-08-05,13,20,UPI,Paid,Covered,50,0.0,47.5,0.25
PT100085,F007,Car,Regular,2025-12-14,8,125,UPI,Paid,Covered,50,0.0,150.0,0.99
PT100086,F003,Bike,Regular,2025-01-14,9,167,UPI,Paid,Two-Wheeler,25,0.0,75.0,0.45
PT100087,F006,SUV,Visitor,2025-01-16,6,162,Cash,Pending,Covered,65,18.52,185.25,0.29
PT100088,F001,Car,Regular,2025-08-07,22,122,UPI,Paid,Covered,50,0.0,135.0,0.5
PT100089,F004,Bike,Regular,2025-06-18,16,134,Credit Card,Paid,Two-Wheeler,25,0.0,75.0,0.5
PT100090,F002,Car,Regular,2025-01-14,17,333,UPI,Paid,Open,50,0.0,300.0,0.53
PT100091,F008,Car,Regular,2025-08-31,16,147,UPI,Paid,Covered,50,0.0,150.0,0.45
PT100092,F004,Car,Visitor,2025-11-15,13,419,Debit Card,Paid,Covered,50,17.5,350.0,0.42
PT100093,F002,SUV,Regular,2025-01-08,8,205,Credit Card,Paid,Covered,65,0.0,247.0,0.73
PT100094,F006,Car,Member,2025-10-10,8,46,UPI,Paid,Covered,50,0.0,50.0,0.92
PT100095,F006,Car,Regular,2025-04-21,19,50,Credit Card,Paid,Covered,50,0.0,45.0,0.99
PT100096,F006,Bike,Member,2025-02-09,6,23,Credit Card,Paid,Two-Wheeler,25,1.25,25.0,0.77
PT100097,F002,SUV,Regular,2025-03-09,15,55,UPI,Paid,Covered,65,0.0,65.0,0.6
PT100098,F004,Car,Visitor,2025-05-03,15,127,Credit Card,Paid,Covered,50,0.0,142.5,0.3
PT100099,F006,Bike,Regular,2025-11-13,14,160,Debit Card,Paid,Two-Wheeler,25,0.0,75.0,0.59
PT100100,F005,Car,Visitor,2025-06-15,21,32,UPI,Paid,Covered,50,9.5,47.5,0.59
PT100101,F007,Bike,Member,2025-07-22,10,199,Credit Card,Paid,Two-Wheeler,25,15.0,100.0,0.84
PT100102,F002,Bike,Visitor,2025-05-08,16,269,UPI,Paid,Two-Wheeler,25,5.94,118.75,0.64
PT100103,F002,Bike,Regular,2025-12-30,15,111,UPI,Paid,Two-Wheeler,25,0.0,45.0,0.41
PT100104,F004,Car,Member,2025-06-01,21,150,Credit Card,Paid,Covered,50,28.5,142.5,0.33
PT100105,F002,Car,Regular,2025-05-26,19,90,Cash,Paid,Covered,50,9.0,90.0,0.6
PT100106,F002,Car,Visitor,2025-02-18,9,51,Cash,Paid,Open,50,5.0,50.0,0.68
PT100107,F006,Car,Member,2025-01-03,12,312,UPI,Pending,Open,50,0.0,255.0,0.47
PT100108,F004,Car,Regular,2025-09-08,18,196,UPI,Paid,Covered,50,0.0,200.0,0.83
PT100109,F006,SUV,Visitor,2025-03-18,11,101,Credit Card,Paid,Open,65,0.0,130.0,0.42
PT100110,F007,EV Car,Member,2025-08-08,12,261,UPI,Paid,EV Parking,55,33.0,220.0,0.73
PT100111,F008,EV Car,Regular,2025-12-14,15,252,Debit Card,Paid,EV Parking,55,0.0,247.5,0.52
PT100112,F007,SUV,Regular,2025-08-16,14,104,Debit Card,Paid,Covered,65,0.0,117.0,0.42
PT100113,F008,Bike,Member,2025-04-28,15,105,Wallet,Paid,Two-Wheeler,25,0.0,45.0,0.69
PT100114,F006,SUV,Regular,2025-09-24,16,160,UPI,Paid,Covered,65,9.75,195.0,0.46
PT100115,F007,Car,Member,2025-08-23,16,27,UPI,Paid,Open,50,0.0,40.0,0.42
PT100116,F004,Bike,Regular,2025-06-17,16,204,Cash,Paid,Two-Wheeler,25,15.0,100.0,0.73
PT100117,F001,Bike,Member,2025-09-17,22,78,Debit Card,Paid,Two-Wheeler,25,5.0,50.0,0.55
PT100118,F006,Bike,Member,2025-07-12,12,169,Cash,Paid,Two-Wheeler,25,7.5,75.0,0.84
PT100119,F008,SUV,Regular,2025-07-03,7,46,UPI,Paid,Covered,65,0.0,65.0,0.33
PT100120,F005,Car,Regular,2025-01-10,12,31,Credit Card,Paid,Covered,50,2.38,47.5,0.3
PT100121,F008,Car,Member,2025-12-03,19,285,Credit Card,Pending,Covered,50,12.5,250.0,0.82
PT100122,F005,EV Car,Regular,2025-11-23,8,197,UPI,Paid,EV Parking,55,9.9,198.0,0.99
PT100123,F002,Car,Visitor,2025-12-25,15,131,Credit Card,Paid,Open,50,0.0,150.0,0.41
PT100124,F007,Bike,Visitor,2025-05-21,13,172,Credit Card,Paid,Two-Wheeler,25,0.0,75.0,0.54
PT100125,F005,EV Car,Regular,2025-01-22,19,72,UPI,Paid,EV Parking,55,0.0,110.0,0.7
PT100126,F008,Bike,Visitor,2025-11-08,19,181,UPI,Paid,Two-Wheeler,25,0.0,100.0,0.72
PT100127,F002,Bike,Visitor,2025-07-12,16,127,Debit Card,Paid,Two-Wheeler,25,0.0,67.5,0.6
PT100128,F001,Car,Regular,2025-04-02,9,179,Credit Card,Paid,Open,50,0.0,150.0,0.64
PT100129,F004,Car,Member,2025-04-07,7,108,Cash,Paid,Covered,50,0.0,100.0,0.28
PT100130,F004,SUV,Member,2025-05-21,9,94,UPI,Paid,Covered,65,6.5,130.0,0.83
PT100131,F004,Bike,Regular,2025-09-14,12,111,UPI,Paid,Two-Wheeler,25,0.0,50.0,0.48
PT100132,F005,Bike,,2025-02-07,11,74,Wallet,Paid,Two-Wheeler,25,6.38,42.5,0.66
PT100133,F001,Car,Regular,2025-09-04,12,153,Wallet,Paid,Covered,50,6.75,135.0,0.67
PT100134,F005,Car,Regular,2025-09-13,10,127,UPI,Paid,Open,50,0.0,150.0,0.62
PT100135,F007,EV Car,Member,2025-10-25,16,102,Debit Card,Pending,EV Parking,55,5.5,110.0,0.49
PT100136,F005,Car,Member,2025-03-26,17,63,UPI,Paid,Open,50,0.0,100.0,0.86
PT100137,F001,Bike,Regular,2025-02-06,13,139,UPI,Paid,Two-Wheeler,25,14.25,71.25,0.64
PT100138,F001,Car,Visitor,2025-07-04,20,318,UPI,Failed,Open,50,0.0,300.0,0.99
PT100139,F007,Bike,Regular,2025-04-08,9,245,UPI,Paid,Two-Wheeler,25,11.25,112.5,0.87
PT100140,F001,EV Car,Visitor,2025-11-14,9,239,Cash,Paid,EV Parking,55,0.0,209.0,0.9
PT100141,F008,Bike,Member,2025-01-30,11,78,Debit Card,Pending,Two-Wheeler,25,0.0,45.0,0.65
PT100142,F001,Car,Regular,2025-07-10,21,191,Wallet,Paid,Covered,50,0.0,170.0,0.78
PT100143,F004,Bike,Regular,2025-12-04,13,136,Debit Card,Paid,Two-Wheeler,25,11.25,75.0,0.17
PT100144,F008,SUV,Visitor,2025-10-06,19,208,UPI,Paid,Open,65,12.35,247.0,0.99
PT100145,F008,Car,Member,2025-07-20,11,132,Debit Card,Paid,Open,50,0.0,150.0,0.54
PT100146,F007,SUV,Member,2025-11-18,17,52,Wallet,Paid,Open,65,0.0,65.0,0.38
PT100147,F003,Bike,Member,2025-07-08,12,112,Debit Card,Paid,Two-Wheeler,25,0.0,50.0,0.55
PT100148,F003,SUV,Visitor,2025-09-15,16,37,Debit Card,Paid,Open,65,0.0,65.0,0.44
PT100149,F001,Bike,Member,2025-06-04,21,38,Wallet,Paid,Two-Wheeler,25,0.0,22.5,0.58
PT100150,F008,Car,Member,2025-11-15,19,86,UPI,Paid,Covered,50,0.0,100.0,0.99
PT100151,F003,Car,Regular,2025-08-16,17,51,Debit Card,Paid,Open,50,4.5,45.0,0.58
PT100152,F003,Car,Regular,2025-01-05,8,85,Cash,Paid,Open,50,15.0,100.0,0.88
PT100153,F001,EV Car,Regular,2025-05-09,14,61,Wallet,Paid,EV Parking,55,0.0,104.5,0.57
PT100154,F003,SUV,Visitor,2025-03-15,17,64,UPI,Paid,Open,65,6.5,130.0,0.74
PT100155,F005,Bike,Regular,2025-12-31,13,190,Credit Card,Paid,Two-Wheeler,25,0.0,90.0,0.35
PT100156,F002,Car,Visitor,2025-01-24,16,103,Debit Card,Pending,Covered,50,4.0,80.0,0.56
PT100157,F007,Car,Regular,2025-11-11,9,69,UPI,Paid,Covered,50,0.0,100.0,0.55
PT100158,F002,SUV,Member,2025-10-06,10,121,Credit Card,Paid,Open,65,9.75,195.0,0.68
PT100159,F001,Bike,Visitor,2025-07-25,15,110,UPI,Pending,Two-Wheeler,25,4.0,40.0,0.41
PT100160,F004,Car,Regular,2025-05-26,13,131,UPI,Pending,Covered,50,15.0,150.0,0.55
PT100161,F007,Bike,Regular,2025-03-30,11,145,Credit Card,Paid,Two-Wheeler,25,0.0,75.0,0.37
PT100162,F001,Car,Regular,2025-01-22,12,101,Credit Card,Paid,Open,50,14.25,95.0,0.47
PT100163,F008,Car,Regular,2025-10-27,15,50,Credit Card,Paid,Covered,50,0.0,50.0,0.56
PT100164,F004,Bike,Member,2025-02-13,16,149,Credit Card,Paid,Two-Wheeler,25,0.0,67.5,0.92
PT100165,F002,Car,Regular,2025-02-06,11,152,UPI,Paid,Covered,50,7.5,150.0,0.27
PT100166,F001,EV Car,Regular,2025-01-07,20,133,UPI,Paid,EV Parking,55,0.0,156.75,0.9
PT100167,F008,Car,Regular,2025-10-07,6,133,UPI,Paid,Open,50,13.5,135.0,0.64
PT100168,F007,Car,Member,2025-06-18,15,112,UPI,Paid,Open,50,9.5,95.0,0.54
PT100169,F007,Car,Visitor,2025-03-11,12,113,Credit Card,Paid,Covered,50,0.0,100.0,0.38
PT100170,F006,SUV,Member,2025-08-01,13,38,Debit Card,Paid,Covered,65,13.0,65.0,0.72
PT100171,F008,Bike,Member,2025-03-12,14,142,UPI,Paid,Two-Wheeler,25,0.0,60.0,0.52
PT100172,F005,Bike,Member,2025-07-26,14,86,UPI,Paid,Two-Wheeler,25,0.0,50.0,0.57
PT100173,F003,Car,Member,2025-03-13,16,116,Debit Card,Paid,Open,50,0.0,90.0,0.38
PT100174,F004,Car,Regular,2025-11-12,17,168,UPI,Paid,Open,50,20.25,135.0,0.8
PT100175,F008,Bike,Regular,2025-06-29,8,38,Wallet,Paid,Two-Wheeler,25,0.0,23.75,0.92
PT100176,F006,SUV,Visitor,2025-07-27,15,89,Debit Card,Paid,Covered,65,0.0,130.0,0.6
PT100177,F003,SUV,Visitor,2025-06-26,13,161,UPI,Paid,Open,65,0.0,195.0,0.47
PT100178,F003,Car,Regular,2025-07-14,17,83,UPI,Paid,Open,50,20.0,100.0,0.9
PT100179,F001,Bike,Regular,2025-10-28,14,56,Credit Card,Paid,Two-Wheeler,25,3.75,25.0,0.58
PT100180,F003,EV Car,Regular,2025-08-27,6,167,UPI,Pending,EV Parking,55,16.5,165.0,0.41
PT100181,F005,Car,Regular,2025-06-03,15,166,UPI,Paid,Covered,50,22.5,150.0,0.31
PT100182,F007,SUV,Regular,2025-06-03,19,137,UPI,Paid,Covered,65,26.32,175.5,0.99
PT100183,F006,Car,Regular,2025-01-30,8,57,Debit Card,Paid,Covered,50,0.0,42.5,0.87
PT100184,F003,EV Car,Regular,2025-01-27,14,104,Credit Card,Paid,EV Parking,55,0.0,110.0,0.85
PT100185,F001,SUV,Regular,2025-08-28,15,379,UPI,Paid,Open,65,40.95,409.5,0.8
PT100186,F005,EV Car,Regular,2025-08-31,10,109,Debit Card,Paid,EV Parking,55,5.22,104.5,0.75
PT100187,F002,Bike,Regular,2025-05-12,15,72,Credit Card,Paid,Two-Wheeler,25,0.0,50.0,0.56
PT100188,F007,Car,Regular,2025-06-28,7,102,Credit Card,Paid,Covered,50,0.0,100.0,0.51
PT100189,F007,EV Car,Regular,2025-12-05,19,80,UPI,Failed,EV Parking,55,10.45,104.5,0.59
PT100190,F006,Car,Regular,2025-04-08,16,71,Credit Card,Paid,Open,50,0.0,100.0,0.77
PT100191,F007,Car,Visitor,2025-11-22,20,48,Wallet,Paid,Covered,50,7.5,50.0,0.86
PT100192,F003,SUV,Visitor,2025-08-25,13,150,UPI,Pending,Covered,65,0.0,195.0,0.66
PT100193,F001,SUV,Member,2025-12-01,7,147,UPI,Paid,Covered,65,0.0,165.75,0.34
PT100194,F007,EV Car,Member,2025-05-18,12,287,UPI,Paid,EV Parking,55,27.5,275.0,0.52
PT100195,F007,Car,Regular,2025-04-28,14,108,UPI,Paid,Covered,50,0.0,95.0,0.28
PT100196,F002,SUV,Regular,2025-04-16,19,58,UPI,Paid,Open,65,0.0,65.0,0.76
PT100197,F002,SUV,Member,2025-02-05,18,166,Cash,Paid,Open,65,8.29,165.75,0.73
PT100198,F004,Car,Member,2025-02-15,14,168,Wallet,Paid,Open,50,22.5,150.0,0.38
PT100199,F005,Car,Regular,2025-04-14,16,50,UPI,Paid,Covered,50,0.0,40.0,0.44
PT100200,F003,Car,Regular,2025-12-30,20,48,Credit Card,Paid,Covered,50,0.0,45.0,0.99
PT100201,F007,Car,Regular,2025-12-26,18,197,Debit Card,Paid,Covered,50,18.0,180.0,0.89
PT100202,F008,EV Car,Regular,2025-03-11,15,31,Credit Card,Paid,EV Parking,55,9.9,49.5,0.53
PT100203,F007,Bike,Regular,2025-07-26,14,170,Credit Card,Paid,Two-Wheeler,25,0.0,71.25,0.37
PT100204,F001,SUV,Member,2025-08-09,13,187,UPI,Paid,Open,65,0.0,260.0,0.58
PT100205,F004,EV Car,Regular,2025-03-30,16,52,Credit Card,Paid,EV Parking,55,0.0,52.25,0.28
PT100206,F005,Car,Member,2025-01-03,17,203,UPI,Paid,Covered,50,0.0,200.0,0.58
PT100207,F008,SUV,Regular,2025-10-25,11,52,Debit Card,Paid,Covered,65,0.0,61.75,0.74
PT100208,F004,Bike,Member,2025-08-19,13,208,Debit Card,Paid,Two-Wheeler,25,5.0,100.0,0.76
PT100209,F006,SUV,Regular,2025-04-28,16,20,UPI,Failed,Covered,65,0.0,65.0,0.19
PT100210,F005,Car,Regular,2025-11-07,15,105,UPI,Paid,Open,50,0.0,100.0,0.56
PT100211,F007,EV Car,Regular,2025-04-24,14,183,Wallet,Paid,EV Parking,55,11.0,220.0,0.83
PT100212,F007,Car,Member,2025-07-21,12,122,Credit Card,Paid,Covered,50,7.5,150.0,0.45
PT100213,F005,Car,Member,2025-01-30,14,127,Cash,Paid,Open,50,0.0,150.0,0.56
PT100214,F007,SUV,Regular,2025-12-30,15,160,UPI,Paid,Covered,65,19.5,195.0,0.43
PT100215,F003,Car,Member,2025-09-04,13,116,Credit Card,Paid,Covered,50,9.5,95.0,0.61
PT100216,F005,Bike,Member,2025-03-22,20,63,Credit Card,Paid,Two-Wheeler,25,5.0,50.0,0.63
PT100217,F004,Bike,Regular,2025-09-03,15,127,Cash,Paid,Two-Wheeler,25,0.0,67.5,0.57
PT100218,F005,SUV,Regular,2025-07-03,18,106,UPI,Paid,Open,65,0.0,130.0,0.99
PT100219,F008,Car,Member,2025-09-30,9,173,UPI,Paid,Open,50,22.5,150.0,0.81
PT100220,F007,Car,Regular,2025-02-02,16,162,UPI,Pending,Open,50,0.0,150.0,0.46
PT100221,F003,Car,Visitor,2025-04-12,14,173,Cash,Paid,Covered,50,0.0,142.5,0.34
PT100222,F003,Bike,Visitor,2025-10-04,12,284,Wallet,Paid,Two-Wheeler,25,0.0,125.0,0.55
PT100223,F006,Car,Member,2025-04-21,9,79,Wallet,Paid,Covered,50,4.75,95.0,0.64
PT100224,F004,Car,Regular,2025-07-25,12,163,Wallet,Failed,Covered,50,27.0,135.0,0.33
PT100225,F002,Car,Regular,2025-09-23,13,46,UPI,Paid,Covered,50,0.0,50.0,0.32
PT100226,F002,Car,Visitor,2025-08-03,10,92,UPI,Pending,Covered,50,15.0,100.0,0.53
PT100227,F005,Bike,Regular,2025-04-13,15,71,UPI,Paid,Two-Wheeler,25,0.0,47.5,0.48
PT100228,F006,SUV,Regular,2025-10-22,12,117,UPI,Paid,Covered,65,5.52,110.5,0.75
PT100229,F001,Car,Regular,2025-03-19,17,185,Cash,Paid,Covered,50,10.0,200.0,0.94
PT100230,F005,Bike,Regular,2025-06-24,15,224,Cash,Paid,Two-Wheeler,25,0.0,95.0,0.64
PT100231,F006,Bike,Regular,2025-12-08,12,170,UPI,Paid,Two-Wheeler,25,0.0,75.0,0.41
PT100232,F004,Car,Member,2025-02-21,12,199,Credit Card,Failed,Open,50,0.0,170.0,0.54
PT100233,F004,SUV,,2025-10-24,20,71,Wallet,Paid,Open,65,23.4,117.0,0.73
PT100234,F004,Car,Regular,2025-06-24,20,295,Credit Card,Paid,Open,50,11.88,237.5,0.99
PT100235,F004,Bike,Visitor,2025-12-09,13,158,UPI,Paid,Two-Wheeler,25,11.25,75.0,0.36
PT100236,F004,Car,Regular,2025-07-18,15,50,Credit Card,Paid,Open,50,5.0,50.0,0.27
PT100237,F006,Bike,Regular,2025-03-29,21,84,UPI,Paid,Two-Wheeler,25,0.0,50.0,0.31
PT100238,F006,Bike,Regular,2025-06-20,22,98,Credit Card,Paid,Two-Wheeler,25,5.0,50.0,0.59
PT100239,F003,Car,Member,2025-02-06,8,199,Credit Card,Paid,Covered,50,0.0,200.0,0.67
PT100240,F008,Car,Regular,2025-05-03,14,95,UPI,Paid,Open,50,0.0,100.0,0.43
PT100241,F002,EV Car,Regular,2025-07-20,16,45,Wallet,Paid,EV Parking,55,5.5,55.0,0.26
PT100242,F007,Bike,Visitor,2025-03-05,10,54,Credit Card,Failed,Two-Wheeler,25,2.12,21.25,0.66
PT100243,F004,Bike,Member,2025-07-07,17,64,Credit Card,Paid,Two-Wheeler,25,0.0,50.0,0.89
PT100244,F001,EV Car,Regular,2025-08-03,13,77,Wallet,Paid,EV Parking,55,0.0,110.0,0.23
PT100245,F007,SUV,Member,2025-08-31,14,119,UPI,Paid,Covered,65,6.5,130.0,0.44
PT100246,F006,Bike,Member,2025-05-30,11,138,UPI,Paid,Two-Wheeler,25,11.25,75.0,0.52
PT100247,F001,SUV,Regular,2025-05-04,12,36,Cash,Paid,Covered,65,3.25,65.0,0.62
PT100248,F001,SUV,Regular,2025-07-17,8,133,UPI,Paid,Open,65,0.0,195.0,0.7
PT100249,F001,Bike,Member,2025-02-05,19,122,Debit Card,Paid,Two-Wheeler,25,0.0,75.0,0.73
PT100250,F003,Bike,,2025-10-29,13,151,UPI,Paid,Two-Wheeler,25,0.0,75.0,0.69
